Year    Mon   Day  Hour   Min    Sec        Lat         Lon         Dep       Mw      Mcat     Stress drop      fc     NCEDC_ID
2003     1     7    10     0    34.29    36.037690  -120.592050     4.61     1.68     1.65        12.77        31.09   21262632
2003     1    15    13    47    57.63    35.928610  -120.476850     4.87     1.06     1.14         5.95        40.27   21263626
2003     1    21     2    46    57.99    35.739540  -120.298040    12.73     1.77     1.46        23.17        35.25   21264449
2003     1    23     0    35    47.36    35.977900  -120.528030    11.03     1.05     1.13        29.43        69.15   21264738
2003     1    24    14    17     4.48    35.984580  -120.542290     2.17     0.92     1.09         3.77        39.09   21264853
2003     1    29     1    48    42.09    35.929000  -120.477020     5.31     0.97     1.09         6.89        45.62   21265422
2003     2     2     0    13    55.76    35.957550  -120.505500    10.83     1.17     1.32        27.95        61.66   21266120
2003     2     4    10    30    33.29    35.997950  -120.559690     3.29     1.76     1.85         6.56        23.28   21266428
2003     2     8    10    58    17.91    36.006320  -120.562570     5.47     1.14     1.27         5.70        37.11   21267038
2003     2    13    22    17     9.10    36.009010  -120.564930     5.57     1.05     1.15         9.08        46.90   21267762
2003     2    15     9    24     6.88    35.927050  -120.474750     5.08     1.11     1.13         5.06        36.76   21267898
2003     2    20     2    58     0.63    36.030130  -120.587320     4.63     1.57     1.55        23.02        41.58   21268353
2003     2    23    21    38     8.92    35.999160  -120.560940     3.27     1.09     1.31         3.92        34.24   21268792
2003     2    25     3    24    57.45    35.933280  -120.481830     5.10     0.78     1.03         6.37        52.36   21268964
2003     2    28     3    39    24.70    36.002370  -120.560510     4.49     2.24     2.11        11.39        18.83   21269300
2003     2    28    11    12     5.94    36.038810  -120.594350     4.57     1.92     2.02        46.39        38.97   21269335
2003     3     2    17    57    52.48    36.012830  -120.569200     4.83     1.55     1.56         9.90        31.70   21269554
2003     3     4    21    27    24.92    35.859320  -120.402580     5.30     1.33     1.51        17.53        46.21   21269762
2003     3    14     9    27    16.15    36.048790  -120.601930     6.47     1.67     1.52        46.66        48.37   21271159
2003     3    16    14    52    19.20    35.962490  -120.514870     6.02     0.57     1.11         3.72        51.73   21271349
2003     3    25    10    53    51.05    35.990560  -120.549310     4.62     0.93     1.11         3.86        39.10   21272468
2003     4     1     1     5     9.98    35.856300  -120.396600     4.54     2.96     3.03        18.18        12.02   21273399
2003     4     1    19     7    27.56    36.056010  -120.608400     9.83     1.50     1.70        16.54        39.27   21273492
2003     4     1    20    54    36.52    36.055680  -120.609560     9.83     2.64     3.12        54.28        22.68   21273511
2003     4     1    20    58    55.36    36.058200  -120.608430     9.93     1.96     2.12        13.06        24.86   21273512
2003     4     1    21    13     7.85    36.052580  -120.608400     9.73     2.03     2.36        14.27        24.10   21273514
2003     4     1    21    16    26.04    36.053430  -120.609750     9.77     2.38     2.40        18.05        19.54   30225621
2003     4     1    22     0    50.77    36.056880  -120.606850     9.85     2.10     2.24         9.88        20.18   21273531
2003     4     2     0    13    24.06    36.054280  -120.606930     9.78     1.44     1.58        12.13        37.30   21273561
2003     4     2     1     9    37.63    35.968190  -120.520680     7.51     0.96     1.17        41.54        83.97   21273571
2003     4     2     5     6     7.11    35.968580  -120.521030     7.51     0.71     1.12         6.85        56.85   21273625
2003     4     6     4     4    23.52    36.022810  -120.580910     4.69     1.34     1.42         8.11        35.34   21274455
2003     4     8     6    10     7.06    36.005430  -120.563360     6.64     1.04     1.29        75.91        96.12   21275276
2003     4    14    22    45    12.12    35.987990  -120.545910     4.73     1.53     1.60        16.08        38.03   21276004
2003     4    23     6    47    27.55    35.864250  -120.406030     4.63     1.20     1.28         4.05        31.63   21276877
2003     5     1    14    30    33.55    35.997010  -120.556600     4.99     1.20     1.37         5.42        34.76   21277697
2003     5     3    21    31    20.16    35.960390  -120.513770     3.06     1.01     1.20         5.23        40.27   21277943
2003     5     9     2    15    12.06    35.904930  -120.449370     5.91     2.10     2.08         6.91        17.89   21278570
2003     5    13     3     4    51.25    35.961870  -120.512110    10.59     1.05     1.27         7.80        44.55   21279083
2003     5    19     0     4    51.89    35.983980  -120.542410     2.59     0.98     1.09         2.92        34.06   21280593
2003     5    19    14    22    34.53    35.934030  -120.482840     5.13     0.84     1.03         5.36        46.85   21281097
2003     5    20     1    13    39.75    35.863410  -120.406560     5.30     1.26     1.25        14.14        45.66   21281549
2003     5    23     2    57     9.46    36.021180  -120.578640     5.03     1.58     1.56        14.53        35.12   21283170
2003     5    25    19    32    57.24    35.968240  -120.519080    11.01     2.40     2.39        40.04        24.93   21283545
2003     6    15    12    56    40.31    35.972790  -120.526980     7.27     1.93     1.88         6.32        19.89   21287571
2003     6    23     9    39    11.76    35.883280  -120.431010     7.83     1.09     1.19        49.39        79.64   21288979
2003     7     9     1    55    22.79    36.052300  -120.605890     9.10     2.40     2.39        72.25        30.47   21291634
